key,description,project,location_col,location_index,location,qty
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,ABS,I,2,ALH-1,24
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,ABS,J,3,Durgapura,16
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,ABS,K,4,Sanganer,16
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,ABS,L,5,ALH-2,40
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,ABS,M,6,ALH-3,40
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,ABS,N,7,ALH-4,32
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,ABS,O,8,Sheodaspura,4
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,H,1,Chaksu,31
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,I,2,Channani,30
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,J,3,Banasthali,39
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,K,4,Sirsa,30
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,L,5,Irsada,39
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,M,6,Chauth,31
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,N,7,Devpura Acc-1,22
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,O,8,Devpura Acc-2,29
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,P,9,Snaganer Acc-1,21
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,Q,10,Devpura Acc-2,27
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,R,11,Sheodaspura,30
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,S,12,Durgapur Acc-1,19
BD011,IN Rail claw SK140-011 w/o m. plate FSTI - RM,Yard,T,13,Durgapur Acc-2,26
BD013,IN Rail claw plate SK140-011 (60kg),ABS,H,1,Jaipur JN,4
BD013,IN Rail claw plate SK140-011 (60kg),ABS,I,2,ALH-1,24
BD013,IN Rail claw plate SK140-011 (60kg),ABS,J,3,Durgapura,16
BD013,IN Rail claw plate SK140-011 (60kg),ABS,K,4,Sanganer,16
BD013,IN Rail claw plate SK140-011 (60kg),ABS,L,5,ALH-2,40
BD013,IN Rail claw plate SK140-011 (60kg),ABS,M,6,ALH-3,40
BD013,IN Rail claw plate SK140-011 (60kg),ABS,N,7,ALH-4,32
BD013,IN Rail claw plate SK140-011 (60kg),ABS,O,8,Sheodaspura,4
BD013,IN Rail claw plate SK140-011 (60kg),Yard,H,1,Chaksu,31
BD013,IN Rail claw plate SK140-011 (60kg),Yard,I,2,Channani,30
BD013,IN Rail claw plate SK140-011 (60kg),Yard,J,3,Banasthali,39
BD013,IN Rail claw plate SK140-011 (60kg),Yard,K,4,Sirsa,30
BD013,IN Rail claw plate SK140-011 (60kg),Yard,L,5,Irsada,39
BD013,IN Rail claw plate SK140-011 (60kg),Yard,M,6,Chauth,31
BD013,IN Rail claw plate SK140-011 (60kg),Yard,N,7,Devpura Acc-1,22
BD013,IN Rail claw plate SK140-011 (60kg),Yard,O,8,Devpura Acc-2,29
BD013,IN Rail claw plate SK140-011 (60kg),Yard,P,9,Snaganer Acc-1,21
BD013,IN Rail claw plate SK140-011 (60kg),Yard,Q,10,Devpura Acc-2,27
BD013,IN Rail claw plate SK140-011 (60kg),Yard,R,11,Sheodaspura,30
BD013,IN Rail claw plate SK140-011 (60kg),Yard,S,12,Durgapur Acc-1,19
BD013,IN Rail claw plate SK140-011 (60kg),Yard,T,13,Durgapur Acc-2,26
BD015,IN Clamping bolt BBIK M12-22 GS02,ABS,H,1,Jaipur JN,4
BD015,IN Clamping bolt BBIK M12-22 GS02,ABS,I,2,ALH-1,24
BD015,IN Clamping bolt BBIK M12-22 GS02,ABS,J,3,Durgapura,16
BD015,IN Clamping bolt BBIK M12-22 GS02,ABS,K,4,Sanganer,16
BD015,IN Clamping bolt BBIK M12-22 GS02,ABS,L,5,ALH-2,40
BD015,IN Clamping bolt BBIK M12-22 GS02,ABS,M,6,ALH-3,40
BD015,IN Clamping bolt BBIK M12-22 GS02,ABS,N,7,ALH-4,32
BD015,IN Clamping bolt BBIK M12-22 GS02,ABS,O,8,Sheodaspura,4
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,H,1,Chaksu,31
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,I,2,Channani,30
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,J,3,Banasthali,39
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,K,4,Sirsa,30
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,L,5,Irsada,39
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,M,6,Chauth,31
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,N,7,Devpura Acc-1,22
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,O,8,Devpura Acc-2,29
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,P,9,Snaganer Acc-1,21
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,Q,10,Devpura Acc-2,27
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,R,11,Sheodaspura,30
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,S,12,Durgapur Acc-1,19
BD015,IN Clamping bolt BBIK M12-22 GS02,Yard,T,13,Durgapur Acc-2,26
BD017,Track lead junction box TLJB-01,ABS,H,1,Jaipur JN,4
BD017,Track lead junction box TLJB-01,ABS,I,2,ALH-1,24
BD017,Track lead junction box TLJB-01,ABS,J,3,Durgapura,16
BD017,Track lead junction box TLJB-01,ABS,K,4,Sanganer,16
BD017,Track lead junction box TLJB-01,ABS,L,5,ALH-2,40
BD017,Track lead junction box TLJB-01,ABS,M,6,ALH-3,40
BD017,Track lead junction box TLJB-01,ABS,N,7,ALH-4,32
BD017,Track lead junction box TLJB-01,ABS,O,8,Sheodaspura,4
BD017,Track lead junction box TLJB-01,Yard,H,1,Chaksu,31
BD017,Track lead junction box TLJB-01,Yard,I,2,Channani,30
BD017,Track lead junction box TLJB-01,Yard,J,3,Banasthali,39
BD017,Track lead junction box TLJB-01,Yard,K,4,Sirsa,30
BD017,Track lead junction box TLJB-01,Yard,L,5,Irsada,39
BD017,Track lead junction box TLJB-01,Yard,M,6,Chauth,31
BD017,Track lead junction box TLJB-01,Yard,N,7,Devpura Acc-1,22
BD017,Track lead junction box TLJB-01,Yard,O,8,Devpura Acc-2,29
BD017,Track lead junction box TLJB-01,Yard,P,9,Snaganer Acc-1,21
BD017,Track lead junction box TLJB-01,Yard,Q,10,Devpura Acc-2,27
BD017,Track lead junction box TLJB-01,Yard,R,11,Sheodaspura,30
BD017,Track lead junction box TLJB-01,Yard,S,12,Durgapur Acc-1,19
BD017,Track lead junction box TLJB-01,Yard,T,13,Durgapur Acc-2,26
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,ABS,H,1,Jaipur JN,4
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,ABS,I,2,ALH-1,24
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,ABS,J,3,Durgapura,16
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,ABS,K,4,Sanganer,16
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,ABS,L,5,ALH-2,40
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,ABS,M,6,ALH-3,40
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,ABS,N,7,ALH-4,32
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,ABS,O,8,Sheodaspura,4
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,H,1,Chaksu,31
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,I,2,Channani,30
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,J,3,Banasthali,39
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,K,4,Sirsa,30
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,L,5,Irsada,39
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,M,6,Chauth,31
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,N,7,Devpura Acc-1,22
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,O,8,Devpura Acc-2,29
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,P,9,Snaganer Acc-1,21
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,Q,10,Devpura Acc-2,27
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,R,11,Sheodaspura,30
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,S,12,Durgapur Acc-1,19
BD018,IN Frauscher Rail Deflector FRD001 GS02 60kg,Yard,T,13,Durgapur Acc-2,26
BD019,Strain relief clamp SRC-IN Make,ABS,H,1,Jaipur JN,4
BD019,Strain relief clamp SRC-IN Make,ABS,I,2,ALH-1,24
BD019,Strain relief clamp SRC-IN Make,ABS,J,3,Durgapura,16
BD019,Strain relief clamp SRC-IN Make,ABS,K,4,Sanganer,16
BD019,Strain relief clamp SRC-IN Make,ABS,L,5,ALH-2,40
BD019,Strain relief clamp SRC-IN Make,ABS,M,6,ALH-3,40
BD019,Strain relief clamp SRC-IN Make,ABS,N,7,ALH-4,32
BD019,Strain relief clamp SRC-IN Make,ABS,O,8,Sheodaspura,4
BD019,Strain relief clamp SRC-IN Make,Yard,H,1,Chaksu,31
BD019,Strain relief clamp SRC-IN Make,Yard,I,2,Channani,30
BD019,Strain relief clamp SRC-IN Make,Yard,J,3,Banasthali,39
BD019,Strain relief clamp SRC-IN Make,Yard,K,4,Sirsa,30
BD019,Strain relief clamp SRC-IN Make,Yard,L,5,Irsada,39
BD019,Strain relief clamp SRC-IN Make,Yard,M,6,Chauth,31
BD019,Strain relief clamp SRC-IN Make,Yard,N,7,Devpura Acc-1,22
BD019,Strain relief clamp SRC-IN Make,Yard,O,8,Devpura Acc-2,29
BD019,Strain relief clamp SRC-IN Make,Yard,P,9,Snaganer Acc-1,21
BD019,Strain relief clamp SRC-IN Make,Yard,Q,10,Devpura Acc-2,27
BD019,Strain relief clamp SRC-IN Make,Yard,R,11,Sheodaspura,30
BD019,Strain relief clamp SRC-IN Make,Yard,S,12,Durgapur Acc-1,19
BD019,Strain relief clamp SRC-IN Make,Yard,T,13,Durgapur Acc-2,26
BD031,Overvoltage protection board BSI004 GS01 CC,ABS,H,1,Jaipur JN,4
BD031,Overvoltage protection board BSI004 GS01 CC,ABS,I,2,ALH-1,24
BD031,Overvoltage protection board BSI004 GS01 CC,ABS,J,3,Durgapura,16
BD031,Overvoltage protection board BSI004 GS01 CC,ABS,K,4,Sanganer,16
BD031,Overvoltage protection board BSI004 GS01 CC,ABS,L,5,ALH-2,40
BD031,Overvoltage protection board BSI004 GS01 CC,ABS,M,6,ALH-3,40
BD031,Overvoltage protection board BSI004 GS01 CC,ABS,N,7,ALH-4,32
BD031,Overvoltage protection board BSI004 GS01 CC,ABS,O,8,Sheodaspura,4
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,H,1,Chaksu,31
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,I,2,Channani,30
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,J,3,Banasthali,39
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,K,4,Sirsa,30
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,L,5,Irsada,39
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,M,6,Chauth,31
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,N,7,Devpura Acc-1,22
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,O,8,Devpura Acc-2,29
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,P,9,Snaganer Acc-1,21
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,Q,10,Devpura Acc-2,27
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,R,11,Sheodaspura,30
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,S,12,Durgapur Acc-1,19
BD031,Overvoltage protection board BSI004 GS01 CC,Yard,T,13,Durgapur Acc-2,26
BD032,Board rack BGT07 84TE,ABS,H,1,Jaipur JN,1
BD032,Board rack BGT07 84TE,ABS,I,2,ALH-1,3
BD032,Board rack BGT07 84TE,ABS,J,3,Durgapura,3
BD032,Board rack BGT07 84TE,ABS,K,4,Sanganer,3
BD032,Board rack BGT07 84TE,ABS,L,5,ALH-2,4
BD032,Board rack BGT07 84TE,ABS,M,6,ALH-3,4
BD032,Board rack BGT07 84TE,ABS,N,7,ALH-4,4
BD032,Board rack BGT07 84TE,ABS,O,8,Sheodaspura,1
BD032,Board rack BGT07 84TE,Yard,H,1,Chaksu,4
BD032,Board rack BGT07 84TE,Yard,I,2,Channani,4
BD032,Board rack BGT07 84TE,Yard,J,3,Banasthali,4
BD032,Board rack BGT07 84TE,Yard,K,4,Sirsa,4
BD032,Board rack BGT07 84TE,Yard,L,5,Irsada,4
BD032,Board rack BGT07 84TE,Yard,M,6,Chauth,4
BD032,Board rack BGT07 84TE,Yard,N,7,Devpura Acc-1,3
BD032,Board rack BGT07 84TE,Yard,O,8,Devpura Acc-2,3
BD032,Board rack BGT07 84TE,Yard,P,9,Snaganer Acc-1,3
BD032,Board rack BGT07 84TE,Yard,Q,10,Devpura Acc-2,3
BD032,Board rack BGT07 84TE,Yard,R,11,Sheodaspura,4
BD032,Board rack BGT07 84TE,Yard,S,12,Durgapur Acc-1,2
BD032,Board rack BGT07 84TE,Yard,T,13,Durgapur Acc-2,3
BD034,Backplane BP-PWR101-4 24TE GS01,ABS,H,1,Jaipur JN,2
BD034,Backplane BP-PWR101-4 24TE GS01,ABS,I,2,ALH-1,2
BD034,Backplane BP-PWR101-4 24TE GS01,ABS,J,3,Durgapura,2
BD034,Backplane BP-PWR101-4 24TE GS01,ABS,K,4,Sanganer,2
BD034,Backplane BP-PWR101-4 24TE GS01,ABS,O,8,Sheodaspura,2
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,H,1,Chaksu,1
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,I,2,Channani,1
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,J,3,Banasthali,1
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,K,4,Sirsa,1
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,L,5,Irsada,1
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,M,6,Chauth,1
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,N,7,Devpura Acc-1,1
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,P,9,Snaganer Acc-1,1
BD034,Backplane BP-PWR101-4 24TE GS01,Yard,R,11,Sheodaspura,1
BD035,Backplane BP-PWR101-8 40TE GS01,ABS,I,2,ALH-1,2
BD035,Backplane BP-PWR101-8 40TE GS01,ABS,J,3,Durgapura,2
BD035,Backplane BP-PWR101-8 40TE GS01,ABS,K,4,Sanganer,2
BD035,Backplane BP-PWR101-8 40TE GS01,ABS,L,5,ALH-2,4
BD035,Backplane BP-PWR101-8 40TE GS01,ABS,M,6,ALH-3,4
BD035,Backplane BP-PWR101-8 40TE GS01,ABS,N,7,ALH-4,4
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,H,1,Chaksu,3
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,I,2,Channani,3
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,J,3,Banasthali,4
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,K,4,Sirsa,3
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,L,5,Irsada,4
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,M,6,Chauth,3
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,N,7,Devpura Acc-1,2
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,O,8,Devpura Acc-2,3
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,P,9,Snaganer Acc-1,2
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,Q,10,Devpura Acc-2,3
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,R,11,Sheodaspura,3
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,S,12,Durgapur Acc-1,2
BD035,Backplane BP-PWR101-8 40TE GS01,Yard,T,13,Durgapur Acc-2,3
BD036,Backplane BP-EXB101-1 10TE GS01,ABS,H,1,Jaipur JN,2
BD036,Backplane BP-EXB101-1 10TE GS01,ABS,J,3,Durgapura,2
BD036,Backplane BP-EXB101-1 10TE GS01,ABS,K,4,Sanganer,2
BD036,Backplane BP-EXB101-1 10TE GS01,ABS,L,5,ALH-2,4
BD036,Backplane BP-EXB101-1 10TE GS01,ABS,M,6,ALH-3,4
BD036,Backplane BP-EXB101-1 10TE GS01,ABS,O,8,Sheodaspura,2
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,H,1,Chaksu,1
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,I,2,Channani,1
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,J,3,Banasthali,2
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,K,4,Sirsa,1
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,L,5,Irsada,2
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,M,6,Chauth,1
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,N,7,Devpura Acc-1,1
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,P,9,Snaganer Acc-1,1
BD036,Backplane BP-EXB101-1 10TE GS01,Yard,R,11,Sheodaspura,1
BD037,Backplane BP-EXB101-2 16TE GS01,ABS,I,2,ALH-1,2
BD037,Backplane BP-EXB101-2 16TE GS01,ABS,L,5,ALH-2,8
BD037,Backplane BP-EXB101-2 16TE GS01,ABS,M,6,ALH-3,8
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,H,1,Chaksu,6
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,I,2,Channani,6
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,J,3,Banasthali,7
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,K,4,Sirsa,6
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,L,5,Irsada,7
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,M,6,Chauth,6
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,N,7,Devpura Acc-1,4
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,O,8,Devpura Acc-2,6
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,P,9,Snaganer Acc-1,4
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,Q,10,Devpura Acc-2,6
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,R,11,Sheodaspura,6
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,S,12,Durgapur Acc-1,4
BD037,Backplane BP-EXB101-2 16TE GS01,Yard,T,13,Durgapur Acc-2,6
BD038,Backplane BP-EXB101-4 28TE GS01,ABS,I,2,ALH-1,2
BD038,Backplane BP-EXB101-4 28TE GS01,ABS,J,3,Durgapura,2
BD038,Backplane BP-EXB101-4 28TE GS01,ABS,K,4,Sanganer,2
BD038,Backplane BP-EXB101-4 28TE GS01,ABS,N,7,ALH-4,4
BD039,Supply board PSC101 GS01,ABS,H,1,Jaipur JN,2
BD039,Supply board PSC101 GS01,ABS,I,2,ALH-1,2
BD039,Supply board PSC101 GS01,ABS,J,3,Durgapura,4
BD039,Supply board PSC101 GS01,ABS,K,4,Sanganer,4
BD039,Supply board PSC101 GS01,ABS,L,5,ALH-2,4
BD039,Supply board PSC101 GS01,ABS,M,6,ALH-3,4
BD039,Supply board PSC101 GS01,ABS,N,7,ALH-4,4
BD039,Supply board PSC101 GS01,ABS,O,8,Sheodaspura,2
BD039,Supply board PSC101 GS01,Yard,H,1,Chaksu,3
BD039,Supply board PSC101 GS01,Yard,I,2,Channani,3
BD039,Supply board PSC101 GS01,Yard,J,3,Banasthali,4
BD039,Supply board PSC101 GS01,Yard,K,4,Sirsa,3
BD039,Supply board PSC101 GS01,Yard,L,5,Irsada,4
BD039,Supply board PSC101 GS01,Yard,M,6,Chauth,3
BD039,Supply board PSC101 GS01,Yard,N,7,Devpura Acc-1,2
BD039,Supply board PSC101 GS01,Yard,O,8,Devpura Acc-2,2
BD039,Supply board PSC101 GS01,Yard,P,9,Snaganer Acc-1,2
BD039,Supply board PSC101 GS01,Yard,Q,10,Devpura Acc-2,2
BD039,Supply board PSC101 GS01,Yard,R,11,Sheodaspura,3
BD039,Supply board PSC101 GS01,Yard,S,12,Durgapur Acc-1,2
BD039,Supply board PSC101 GS01,Yard,T,13,Durgapur Acc-2,2
BD040,Communication Board COM-AdC101 GS02,ABS,H,1,Jaipur JN,1
BD040,Communication Board COM-AdC101 GS02,ABS,I,2,ALH-1,2
BD040,Communication Board COM-AdC101 GS02,ABS,J,3,Durgapura,3
BD040,Communication Board COM-AdC101 GS02,ABS,K,4,Sanganer,3
BD040,Communication Board COM-AdC101 GS02,ABS,L,5,ALH-2,4
BD040,Communication Board COM-AdC101 GS02,ABS,M,6,ALH-3,4
BD040,Communication Board COM-AdC101 GS02,ABS,N,7,ALH-4,4
BD040,Communication Board COM-AdC101 GS02,ABS,O,8,Sheodaspura,1
BD040,Communication Board COM-AdC101 GS02,Yard,H,1,Chaksu,2
BD040,Communication Board COM-AdC101 GS02,Yard,I,2,Channani,2
BD040,Communication Board COM-AdC101 GS02,Yard,J,3,Banasthali,2
BD040,Communication Board COM-AdC101 GS02,Yard,K,4,Sirsa,2
BD040,Communication Board COM-AdC101 GS02,Yard,L,5,Irsada,2
BD040,Communication Board COM-AdC101 GS02,Yard,M,6,Chauth,2
BD040,Communication Board COM-AdC101 GS02,Yard,N,7,Devpura Acc-1,1
BD040,Communication Board COM-AdC101 GS02,Yard,O,8,Devpura Acc-2,1
BD040,Communication Board COM-AdC101 GS02,Yard,P,9,Snaganer Acc-1,1
BD040,Communication Board COM-AdC101 GS02,Yard,Q,10,Devpura Acc-2,1
BD040,Communication Board COM-AdC101 GS02,Yard,R,11,Sheodaspura,2
BD040,Communication Board COM-AdC101 GS02,Yard,S,12,Durgapur Acc-1,1
BD040,Communication Board COM-AdC101 GS02,Yard,T,13,Durgapur Acc-2,1
BD041,Evaluation board AEB101 GS07,ABS,H,1,Jaipur JN,4
BD041,Evaluation board AEB101 GS07,ABS,I,2,ALH-1,24
BD041,Evaluation board AEB101 GS07,ABS,J,3,Durgapura,16
BD041,Evaluation board AEB101 GS07,ABS,K,4,Sanganer,16
BD041,Evaluation board AEB101 GS07,ABS,L,5,ALH-2,40
BD041,Evaluation board AEB101 GS07,ABS,M,6,ALH-3,40
BD041,Evaluation board AEB101 GS07,ABS,N,7,ALH-4,32
BD041,Evaluation board AEB101 GS07,ABS,O,8,Sheodaspura,4
BD041,Evaluation board AEB101 GS07,Yard,H,1,Chaksu,31
BD041,Evaluation board AEB101 GS07,Yard,I,2,Channani,30
BD041,Evaluation board AEB101 GS07,Yard,J,3,Banasthali,39
BD041,Evaluation board AEB101 GS07,Yard,K,4,Sirsa,30
BD041,Evaluation board AEB101 GS07,Yard,L,5,Irsada,39
BD041,Evaluation board AEB101 GS07,Yard,M,6,Chauth,31
BD041,Evaluation board AEB101 GS07,Yard,N,7,Devpura Acc-1,22
BD041,Evaluation board AEB101 GS07,Yard,O,8,Devpura Acc-2,29
BD041,Evaluation board AEB101 GS07,Yard,P,9,Snaganer Acc-1,21
BD041,Evaluation board AEB101 GS07,Yard,Q,10,Devpura Acc-2,27
BD041,Evaluation board AEB101 GS07,Yard,R,11,Sheodaspura,30
BD041,Evaluation board AEB101 GS07,Yard,S,12,Durgapur Acc-1,19
BD041,Evaluation board AEB101 GS07,Yard,T,13,Durgapur Acc-2,26
BD042,In-/Output board IO-EXB101 GS01,ABS,H,1,Jaipur JN,2
BD042,In-/Output board IO-EXB101 GS01,ABS,I,2,ALH-1,12
BD042,In-/Output board IO-EXB101 GS01,ABS,J,3,Durgapura,8
